TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,ScenarioLabel,ScenarioRole
TRANSACTIONS20000BASELINE000001,ACB00001,163.36,2024-01-06T12:00:00,Debit,Albuquerque,Online,40,Engineer,1,8230.88,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000002,ACB00002,355.33,2024-01-11T14:00:00,Debit,Charlotte,Online,48,Engineer,1,5146.62,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000003,ACB00003,183.51,2024-02-06T15:00:00,Debit,Milwaukee,Online,39,Student,1,7103.88,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000004,ACB00004,625.17,2024-01-09T12:00:00,Credit,Seattle,ATM,60,Retired,1,7318.71,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000005,ACB00005,267.16,2024-01-12T08:00:00,Debit,Kansas City,Branch,37,Retired,1,1637.27,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000006,ACB00006,326.45,2024-01-06T20:00:00,Debit,Milwaukee,Branch,47,Engineer,1,2723.13,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000007,ACB00007,300.56,2024-02-04T19:00:00,Debit,Indianapolis,Online,36,Student,1,3058.39,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000008,ACB00008,231.47,2024-01-22T19:00:00,Debit,Jacksonville,ATM,35,Student,1,1971.57,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000009,ACB00009,323.38,2024-01-01T08:00:00,Credit,San Jose,ATM,55,Engineer,1,4211.58,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000010,ACB00010,456.61,2024-02-01T11:00:00,Debit,Raleigh,Branch,45,Student,1,5726.25,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000011,ACB00011,406.10,2024-02-13T18:00:00,Credit,Oklahoma City,Online,42,Student,1,4512.29,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000012,ACB00012,327.71,2024-01-09T17:00:00,Debit,Memphis,Online,31,Student,1,3728.46,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000013,ACB00013,127.81,2024-01-27T11:00:00,Debit,Dallas,Branch,53,Retired,1,2737.60,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000014,ACB00014,515.30,2024-01-28T11:00:00,Debit,Colorado Springs,ATM,42,Doctor,1,3489.27,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000015,ACB00015,670.38,2024-02-07T09:00:00,Debit,Miami,Branch,55,Engineer,1,4476.70,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000016,ACB00016,102.63,2024-01-28T10:00:00,Credit,Philadelphia,Online,49,Engineer,1,3215.88,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000017,ACB00017,203.80,2024-01-30T10:00:00,Credit,Los Angeles,Online,48,Engineer,1,7442.17,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000018,ACB00018,6.43,2024-02-11T13:00:00,Debit,El Paso,ATM,57,Retired,1,8985.66,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000019,ACB00019,1224.62,2024-01-31T09:00:00,Debit,El Paso,ATM,41,Doctor,1,6407.74,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000020,ACB00020,315.53,2024-01-26T17:00:00,Debit,Colorado Springs,Branch,35,Student,2,2250.19,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000021,ACB00021,12.40,2024-01-30T13:00:00,Credit,Las Vegas,ATM,38,Doctor,1,6517.09,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000022,ACB00022,197.47,2024-02-11T08:00:00,Debit,Houston,Online,52,Retired,1,4867.24,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000023,ACB00023,517.75,2024-01-08T20:00:00,Debit,Chicago,Branch,55,Engineer,1,3774.31,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000024,ACB00024,712.33,2024-01-11T18:00:00,Debit,San Jose,Branch,32,Student,1,2308.67,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000025,ACB00025,1084.98,2024-01-30T17:00:00,Credit,El Paso,Online,39,Student,1,4080.04,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000026,ACB00026,557.33,2024-01-29T12:00:00,Debit,Milwaukee,ATM,37,Student,2,4123.20,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000027,ACB00027,743.30,2024-01-24T12:00:00,Credit,Nashville,Online,36,Student,1,9207.22,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000028,ACB00028,694.92,2024-01-04T15:00:00,Debit,Sacramento,Branch,50,Doctor,1,5960.57,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000029,ACB00029,182.98,2024-01-19T13:00:00,Debit,Memphis,ATM,57,Doctor,1,6144.16,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000030,ACB00030,153.46,2024-02-09T17:00:00,Debit,Sacramento,Branch,41,Student,1,6372.56,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000031,ACB00031,851.70,2024-01-22T20:00:00,Debit,Miami,Online,54,Engineer,1,3991.76,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000032,ACB00032,382.57,2024-02-09T18:00:00,Debit,El Paso,Branch,29,Engineer,1,3486.25,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000033,ACB00033,392.96,2024-02-09T08:00:00,Debit,Miami,Online,37,Student,3,5193.21,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000034,ACB00034,284.43,2024-02-15T19:00:00,Debit,San Jose,Online,43,Doctor,1,5839.87,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000035,ACB00035,5.00,2024-02-02T09:00:00,Debit,Tucson,Online,48,Engineer,1,1799.05,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000036,ACB00036,122.00,2024-02-11T11:00:00,Debit,Washington,Online,55,Retired,1,1700.98,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000037,ACB00037,847.54,2024-01-10T08:00:00,Credit,Sacramento,Branch,56,Engineer,1,3545.12,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000038,ACB00038,426.41,2024-02-11T20:00:00,Debit,Memphis,Branch,34,Student,1,3384.09,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000039,ACB00039,320.85,2024-01-19T11:00:00,Debit,Los Angeles,Branch,46,Student,1,1877.04,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000040,ACB00040,5.00,2024-02-13T08:00:00,Debit,Detroit,Branch,30,Engineer,1,3039.39,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000041,ACB00041,550.11,2024-01-05T13:00:00,Debit,Charlotte,Branch,51,Engineer,1,5942.46,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000042,ACB00042,368.16,2024-01-21T17:00:00,Debit,Memphis,Branch,34,Student,2,1758.84,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000043,ACB00043,551.52,2024-01-20T17:00:00,Credit,Chicago,Branch,55,Engineer,1,3458.80,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000044,ACB00044,5.00,2024-02-11T16:00:00,Debit,Portland,Online,34,Student,2,6472.97,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000045,ACB00045,338.43,2024-01-10T17:00:00,Debit,Detroit,Branch,44,Engineer,3,8460.28,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000046,ACB00046,327.79,2024-02-11T09:00:00,Debit,Tucson,Online,24,Student,2,1410.51,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000047,ACB00047,755.42,2024-01-29T08:00:00,Debit,Detroit,Online,33,Student,1,5147.66,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000048,ACB00048,1018.79,2024-01-04T08:00:00,Debit,Los Angeles,ATM,40,Student,2,8272.89,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000049,ACB00049,5.00,2024-01-12T08:00:00,Debit,San Antonio,Branch,48,Engineer,1,3139.75,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000050,ACB00050,199.28,2024-01-15T19:00:00,Debit,Fort Worth,Branch,40,Student,1,2753.56,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000051,ACB00051,187.31,2024-02-09T11:00:00,Credit,Washington,Online,43,Student,1,3520.92,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000052,ACB00052,408.04,2024-01-21T18:00:00,Debit,San Antonio,Branch,44,Doctor,1,5747.76,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000053,ACB00053,5.00,2024-01-01T10:00:00,Debit,Tucson,Branch,48,Retired,1,4866.29,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000054,ACB00054,396.16,2024-01-25T14:00:00,Debit,San Francisco,Online,54,Retired,1,5176.73,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000055,ACB00055,935.94,2024-01-16T18:00:00,Credit,Columbus,Online,50,Student,1,7558.82,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000056,ACB00056,346.09,2024-01-29T16:00:00,Debit,Louisville,ATM,44,Student,1,3499.90,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000057,ACB00057,450.23,2024-01-30T10:00:00,Credit,Omaha,Online,48,Doctor,1,5589.94,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000058,ACB00058,401.38,2024-01-11T15:00:00,Credit,Louisville,Branch,46,Student,1,7993.11,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000059,ACB00059,190.09,2024-01-30T13:00:00,Debit,Fort Worth,ATM,36,Engineer,1,2869.05,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000060,ACB00060,559.82,2024-02-05T11:00:00,Debit,Albuquerque,Branch,43,Student,2,3163.74,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000061,ACB00061,142.68,2024-01-05T13:00:00,Debit,Columbus,ATM,49,Engineer,1,6114.29,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000062,ACB00062,82.44,2024-01-17T14:00:00,Debit,Albuquerque,ATM,38,Student,2,2576.73,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000063,ACB00063,5.00,2024-02-06T15:00:00,Debit,Dallas,Branch,47,Student,1,4756.47,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000064,ACB00064,545.26,2024-01-16T10:00:00,Debit,Detroit,ATM,28,Student,2,5532.97,,BASELINE_NORMAL,overall_volume
TRANSACTIONS20000BASELINE000065,ACB00065,5.00,2024-02-10T16:00:00,Debit,Philadelphia,Online,46,Student,1,4614.27,,BASELINE_NORMAL,overall_volume
