TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,ScenarioLabel,ScenarioRole
PREVIEW000001,AC_PREVIEW_HIGH,213.17,2024-03-01T10:00:00,Debit,Dhaka,Online,59,Retired,1,6695.71,,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000002,AC_PREVIEW_HIGH,532.73,2024-03-02T12:00:00,Debit,Dhaka,ATM,59,Retired,1,8858.51,2024-03-01T10:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000003,AC_PREVIEW_HIGH,743.71,2024-03-04T14:00:00,Debit,Dhaka,ATM,59,Retired,1,4886.38,2024-03-02T12:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000004,AC_PREVIEW_HIGH,333.75,2024-03-07T13:00:00,Debit,Dhaka,ATM,59,Retired,2,6596.19,2024-03-04T14:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000005,AC_PREVIEW_HIGH,602.73,2024-03-08T07:00:00,Debit,Dhaka,ATM,59,Retired,1,7527.68,2024-03-07T13:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000006,AC_PREVIEW_HIGH,467.25,2024-03-10T19:00:00,Debit,Dhaka,Online,59,Retired,1,6620.23,2024-03-08T07:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000007,AC_PREVIEW_HIGH,769.92,2024-03-13T08:00:00,Debit,Dhaka,ATM,59,Retired,1,5747.73,2024-03-10T19:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000008,AC_PREVIEW_HIGH,525.09,2024-03-16T01:00:00,Debit,Dhaka,ATM,59,Retired,1,4238.34,2024-03-13T08:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000009,AC_PREVIEW_HIGH,670.54,2024-03-16T22:00:00,Debit,Dhaka,ATM,59,Retired,3,5207.46,2024-03-16T01:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000010,AC_PREVIEW_HIGH,354.30,2024-03-19T00:00:00,Debit,Dhaka,ATM,59,Retired,1,7497.94,2024-03-16T22:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000011,AC_PREVIEW_HIGH,439.97,2024-03-21T10:00:00,Debit,Dhaka,ATM,59,Retired,1,5119.58,2024-03-19T00:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000012,AC_PREVIEW_HIGH,282.82,2024-03-23T01:00:00,Debit,Dhaka,Online,59,Retired,1,9998.17,2024-03-21T10:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000013,AC_PREVIEW_HIGH,615.99,2024-03-24T03:00:00,Debit,Dhaka,ATM,59,Retired,1,7721.24,2024-03-23T01:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000014,AC_PREVIEW_HIGH,807.97,2024-03-26T09:00:00,Debit,Dhaka,ATM,59,Retired,2,6156.25,2024-03-24T03:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000015,AC_PREVIEW_HIGH,636.47,2024-03-29T04:00:00,Debit,Dhaka,ATM,59,Retired,1,9084.87,2024-03-26T09:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000016,AC_PREVIEW_HIGH,601.19,2024-03-30T21:00:00,Debit,Dhaka,ATM,59,Retired,1,9486.26,2024-03-29T04:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000017,AC_PREVIEW_HIGH,449.16,2024-04-02T19:00:00,Debit,Dhaka,ATM,59,Retired,1,5971.35,2024-03-30T21:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000018,AC_PREVIEW_HIGH,657.95,2024-04-05T04:00:00,Debit,Dhaka,ATM,59,Retired,1,7857.06,2024-04-02T19:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000019,AC_PREVIEW_HIGH,320.49,2024-04-07T10:00:00,Debit,Dhaka,ATM,59,Retired,1,9473.97,2024-04-05T04:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000020,AC_PREVIEW_HIGH,313.29,2024-04-08T14:00:00,Debit,Dhaka,ATM,59,Retired,1,5220.38,2024-04-07T10:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000021,AC_PREVIEW_HIGH,650.57,2024-04-11T09:00:00,Debit,Dhaka,ATM,59,Retired,1,4143.15,2024-04-08T14:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000022,AC_PREVIEW_HIGH,693.43,2024-04-13T18:00:00,Debit,Dhaka,Online,59,Retired,1,8750.02,2024-04-11T09:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000023,AC_PREVIEW_HIGH,499.67,2024-04-15T10:00:00,Debit,Dhaka,ATM,59,Retired,1,9486.99,2024-04-13T18:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000024,AC_PREVIEW_HIGH,221.22,2024-04-16T12:00:00,Debit,Dhaka,ATM,59,Retired,1,9359.10,2024-04-15T10:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000025,AC_PREVIEW_HIGH,421.44,2024-04-17T18:00:00,Debit,Dhaka,Online,59,Retired,2,8297.24,2024-04-16T12:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
PREVIEW000026,AC_PREVIEW_HIGH,478.67,2024-04-18T17:00:00,Debit,Dhaka,Online,59,Retired,1,5631.71,2024-04-17T18:00:00,PREVIEW_HISTORY_NORMAL,HIGH_AMOUNT_SPIKE
