TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,ScenarioLabel,ScenarioRole
TRANSACTIONSUSERGROWTH1000000001,AC_GROWTH_005,17.93,2024-02-01T09:00:00,Debit,Indianapolis,Branch,57,Retired,1,3207.86,,USER_HISTORY_GROWTH,AC_GROWTH_005
TRANSACTIONSUSERGROWTH1000000006,AC_GROWTH_025,139.48,2024-02-01T09:00:00,Debit,San Jose,Branch,55,Engineer,1,1558.57,,USER_HISTORY_GROWTH,AC_GROWTH_025
TRANSACTIONSUSERGROWTH1000000031,AC_GROWTH_100,5.00,2024-02-01T09:00:00,Debit,Fresno,ATM,40,Student,1,3931.96,,USER_HISTORY_GROWTH,AC_GROWTH_100
TRANSACTIONSUSERGROWTH1000000131,AC_GROWTH_500,183.18,2024-02-01T09:00:00,Credit,Baltimore,ATM,58,Engineer,1,9691.23,,USER_HISTORY_GROWTH,AC_GROWTH_500
TRANSACTIONSUSERGROWTH1000000699,ACU00059,83.53,2024-02-01T09:00:00,Debit,Raleigh,Branch,45,Retired,2,4255.51,,BACKGROUND_NORMAL,filler
TRANSACTIONSUSERGROWTH1000000685,ACU00045,55.04,2024-02-02T09:00:00,Debit,Tucson,Online,44,Student,1,4258.40,,BACKGROUND_NORMAL,filler
TRANSACTIONSUSERGROWTH1000000032,AC_GROWTH_100,356.96,2024-02-02T15:00:00,Debit,Nashville,Online,40,Student,1,3542.51,2024-02-01T09:00:00,USER_HISTORY_GROWTH,AC_GROWTH_100
TRANSACTIONSUSERGROWTH1000000007,AC_GROWTH_025,191.30,2024-02-03T04:00:00,Debit,Albuquerque,ATM,55,Engineer,1,1773.02,2024-02-01T09:00:00,USER_HISTORY_GROWTH,AC_GROWTH_025
TRANSACTIONSUSERGROWTH1000000639,ACU00079,317.24,2024-02-03T09:00:00,Debit,Fort Worth,Online,28,Student,1,6007.74,,BACKGROUND_NORMAL,filler
TRANSACTIONSUSERGROWTH1000000651,ACU00011,210.87,2024-02-03T09:00:00,Debit,Las Vegas,ATM,44,Retired,1,3620.03,,BACKGROUND_NORMAL,filler
TRANSACTIONSUSERGROWTH1000000686,ACU00046,245.74,2024-02-03T09:00:00,Debit,Columbus,ATM,28,Student,1,8084.69,,BACKGROUND_NORMAL,filler
