TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000001,AC00128,14.09,4/11/2023 16:29,Debit,San Diego,ATM,70,Doctor,1,5112.21,11/4/2024 8:08
TX000002,AC00455,376.24,6/27/2023 16:44,Debit,Houston,ATM,68,Doctor,1,13758.91,11/4/2024 8:09
TX000003,AC00019,126.29,7/10/2023 18:16,Debit,Mesa,Online,19,Student,1,1122.35,11/4/2024 8:07
TX000004,AC00070,184.5,5/5/2023 16:32,Debit,Raleigh,Online,26,Student,1,8569.06,11/4/2024 8:09
TX000005,AC00411,13.45,10/16/2023 17:51,Credit,Atlanta,Online,26,Student,1,7429.4,11/4/2024 8:06
TX000006,AC00393,92.15,4/3/2023 17:15,Debit,Oklahoma City,ATM,18,Student,1,781.68,11/4/2024 8:06
TX000007,AC00199,7.08,2/15/2023 16:36,Credit,Seattle,ATM,37,Doctor,1,13316.71,11/4/2024 8:10
TX000008,AC00069,171.42,5/8/2023 17:47,Credit,Indianapolis,Branch,67,Retired,1,2796.24,11/4/2024 8:10
TX000009,AC00135,106.23,3/21/2023 16:59,Credit,Detroit,Branch,51,Engineer,1,9095.14,11/4/2024 8:11
TX000010,AC00385,815.96,3/31/2023 16:06,Debit,Nashville,ATM,55,Doctor,1,1021.88,11/4/2024 8:06
TX000011,AC00150,17.78,3/14/2023 16:46,Credit,Albuquerque,Online,52,Engineer,1,7599.52,11/4/2024 8:06
TX000012,AC00459,190.02,2/6/2023 17:30,Debit,Memphis,Online,21,Student,1,1528.81,11/4/2024 8:07
TX000013,AC00392,494.52,6/7/2023 17:21,Credit,Mesa,Branch,24,Student,1,1620.02,11/4/2024 8:08
TX000014,AC00264,781.76,11/20/2023 16:39,Debit,Memphis,ATM,26,Student,1,189.69,11/4/2024 8:07
TX000015,AC00085,166.99,2/13/2023 16:53,Debit,Louisville,Online,18,Student,1,299.93,11/4/2024 8:10
TX000016,AC00270,465.45,12/12/2023 16:23,Debit,Denver,ATM,36,Engineer,1,3465.54,11/4/2024 8:12
TX000017,AC00317,555.8,10/30/2023 16:52,Credit,Austin,Branch,19,Student,1,1131.26,11/4/2024 8:07
TX000018,AC00359,492.93,12/14/2023 18:32,Debit,Columbus,Online,39,Engineer,1,5109.97,11/4/2024 8:11
TX000019,AC00242,18.68,2/21/2023 16:56,Credit,Albuquerque,Branch,59,Retired,1,7948.37,11/4/2024 8:12
TX000020,AC00285,71.48,6/8/2023 18:18,Credit,Columbus,Online,18,Student,1,6568.59,11/4/2024 8:09
