TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,FraudLabel
SUP-00000001,AC00111,556.91,2023-01-01T00:10:27,CASH_WITHDRAWAL,Chattogram,ONLINE,51,Doctor,1,118835.63,,0
SUP-00000002,AC00193,99.55,2023-01-01T02:15:18,TRANSFER,Barishal,ATM,64,Government Employee,2,86928.42,,0
SUP-00000003,AC00174,479.41,2023-01-01T02:54:06,DEBIT,Khulna,ONLINE,27,Doctor,2,124093.26,,0
SUP-00000004,AC00258,7432.26,2023-01-01T03:21:51,CREDIT,Mymensingh,ATM,61,Engineer,1,83369.3,,1
SUP-00000005,AC00498,59.72,2023-01-01T04:22:42,DEBIT,Rangpur,ATM,26,Government Employee,1,10956.92,,0
SUP-00000006,AC00424,61.67,2023-01-01T04:54:34,CREDIT,Mymensingh,ATM,30,Doctor,1,48868.03,,0
SUP-00000007,AC00592,32.0,2023-01-01T05:39:24,DEBIT,Dhaka,MOBILE,43,Business Owner,1,93628.82,,0
SUP-00000008,AC00059,566.58,2023-01-01T05:57:13,DEBIT,Sylhet,BRANCH,61,Doctor,1,48587.44,,0
SUP-00000009,AC00085,195.63,2023-01-01T07:46:56,TRANSFER,Khulna,ONLINE,40,Business Owner,1,11314.34,,0
SUP-00000010,AC00085,158.15,2023-01-01T07:50:06,TRANSFER,Khulna,ONLINE,40,Business Owner,1,11156.19,2023-01-01T07:46:56,0
SUP-00000011,AC00277,70.36,2023-01-01T08:40:23,DEBIT,Chattogram,BRANCH,48,Government Employee,1,31010.5,,0
SUP-00000012,AC00571,198.93,2023-01-01T09:25:17,CREDIT,Rajshahi,ONLINE,36,Business Owner,1,22471.53,,0
SUP-00000013,AC00032,125.22,2023-01-01T09:48:03,TRANSFER,Mymensingh,ONLINE,52,Banker,2,172132.0,,0
SUP-00000014,AC00230,462.73,2023-01-01T09:54:14,DEBIT,Sylhet,MOBILE,45,Engineer,1,81733.8,,0
SUP-00000015,AC00431,66.93,2023-01-01T10:59:51,CREDIT,Rangpur,ATM,39,Teacher,2,114990.01,,0
SUP-00000016,AC00541,140.77,2023-01-01T12:40:55,CREDIT,Rajshahi,POS,49,Doctor,1,49519.91,,0
SUP-00000017,AC00276,99.72,2023-01-01T12:51:57,DEBIT,Mymensingh,ONLINE,31,Government Employee,2,178941.67,,0
SUP-00000018,AC00046,63.81,2023-01-01T14:08:50,DEBIT,Mymensingh,ONLINE,24,Government Employee,1,119089.08,,0
SUP-00000019,AC00386,92.61,2023-01-01T14:12:30,CASH_WITHDRAWAL,Mymensingh,ONLINE,50,Government Employee,1,92917.66,,0
SUP-00000020,AC00569,596.91,2023-01-01T14:50:20,CASH_WITHDRAWAL,Rajshahi,POS,45,Engineer,1,96084.41,,0
SUP-00000021,AC00134,760.79,2023-01-01T17:32:08,TRANSFER,Rangpur,ATM,45,Business Owner,2,156571.87,,0
SUP-00000022,AC00351,2749.61,2023-01-01T20:57:08,TRANSFER,Barishal,MOBILE,55,Teacher,6,176280.88,,0
SUP-00000023,AC00016,709.64,2023-01-01T22:48:05,DEBIT,Rangpur,BRANCH,49,Government Employee,1,105825.84,,0
SUP-00000024,AC00548,58.88,2023-01-01T22:49:32,TRANSFER,Sylhet,MOBILE,59,Business Owner,2,108695.42,,0
SUP-00000025,AC00510,410.59,2023-01-01T23:36:41,TRANSFER,Khulna,MOBILE,63,Retired,1,75056.94,,0
SUP-00000026,AC00147,365.28,2023-01-02T00:46:32,CREDIT,Rangpur,MOBILE,46,Government Employee,1,158261.8,,0
SUP-00000027,AC00044,125.86,2023-01-02T02:40:08,DEBIT,Rangpur,BRANCH,52,Banker,1,106225.49,,0
SUP-00000028,AC00041,431.72,2023-01-02T03:19:34,TRANSFER,Sylhet,ATM,67,Banker,3,79933.9,,0
SUP-00000029,AC00305,47.28,2023-01-02T03:21:05,TRANSFER,Sylhet,BRANCH,35,Engineer,4,83580.26,,1
SUP-00000030,AC00059,419.93,2023-01-02T06:41:03,DEBIT,Sylhet,BRANCH,61,Doctor,1,48167.51,2023-01-01T05:57:13,0
SUP-00000031,AC00003,337.85,2023-01-02T06:49:53,DEBIT,Mymensingh,ATM,20,Student,1,88883.62,,0
SUP-00000032,AC00561,535.27,2023-01-02T07:13:26,DEBIT,Chattogram,BRANCH,39,Government Employee,1,60550.06,,0
SUP-00000033,AC00462,48.27,2023-01-02T07:46:28,CREDIT,Khulna,BRANCH,38,Government Employee,1,67545.03,,0
SUP-00000034,AC00536,160.06,2023-01-02T08:27:38,TRANSFER,Chattogram,MOBILE,29,Government Employee,1,30102.08,,0
SUP-00000035,AC00376,48.02,2023-01-02T09:10:00,DEBIT,Sylhet,ONLINE,54,Doctor,1,152769.48,,0
SUP-00000036,AC00362,122.24,2023-01-02T09:16:49,DEBIT,Rangpur,ATM,40,Banker,1,69987.23,,0
SUP-00000037,AC00351,868.38,2023-01-02T11:04:49,DEBIT,Mymensingh,POS,55,Teacher,1,175412.5,2023-01-01T20:57:08,0
SUP-00000038,AC00276,109.09,2023-01-02T11:13:10,TRANSFER,Mymensingh,ONLINE,31,Government Employee,1,178832.58,2023-01-01T12:51:57,0
SUP-00000039,AC00397,286.1,2023-01-02T11:30:05,DEBIT,Dhaka,ATM,66,Government Employee,2,66918.9,,0
SUP-00000040,AC00497,133.56,2023-01-02T11:39:17,CREDIT,Sylhet,MOBILE,64,Doctor,1,77143.04,,0
SUP-00000041,AC00131,1168.6,2023-01-02T11:52:43,DEBIT,Barishal,BRANCH,62,Banker,1,151246.46,,0
SUP-00000042,AC00010,788.76,2023-01-02T13:05:35,DEBIT,Dhaka,POS,67,Retired,1,56958.33,,0
SUP-00000043,AC00355,252.73,2023-01-02T15:06:44,CREDIT,Dhaka,POS,67,Retired,1,153724.51,,0
SUP-00000044,AC00228,744.02,2023-01-02T15:46:18,CREDIT,Barishal,BRANCH,51,Government Employee,1,144414.55,,0
SUP-00000045,AC00101,95.97,2023-01-02T16:09:19,TRANSFER,Chattogram,BRANCH,36,Banker,2,109160.63,,0
SUP-00000046,AC00306,74.88,2023-01-02T17:27:05,CREDIT,Khulna,POS,62,Retired,1,89702.93,,0
SUP-00000047,AC00130,126.82,2023-01-02T18:01:26,CREDIT,Rajshahi,MOBILE,54,Doctor,1,64215.51,,0
SUP-00000048,AC00011,638.04,2023-01-02T21:39:47,CASH_WITHDRAWAL,Dhaka,POS,34,Banker,3,154664.23,,0
SUP-00000049,AC00336,750.17,2023-01-02T22:27:50,TRANSFER,Rajshahi,ATM,42,Engineer,1,156532.44,,0
SUP-00000050,AC00480,53.71,2023-01-02T22:44:08,TRANSFER,Mymensingh,ATM,58,Engineer,1,46574.9,,0
SUP-00000051,AC00226,175.48,2023-01-02T23:07:32,TRANSFER,Chattogram,BRANCH,74,Retired,1,107633.26,,0
SUP-00000052,AC00215,102.45,2023-01-03T00:03:22,TRANSFER,Barishal,ONLINE,61,Government Employee,1,56852.7,,0
SUP-00000053,AC00165,634.83,2023-01-03T00:05:17,DEBIT,Rangpur,BRANCH,37,Business Owner,1,146880.02,,0
SUP-00000054,AC00414,41.3,2023-01-03T05:14:25,DEBIT,Khulna,BRANCH,72,Retired,1,141737.7,,0
SUP-00000055,AC00061,89.13,2023-01-03T07:01:50,CASH_WITHDRAWAL,Chattogram,ONLINE,44,Teacher,1,25154.49,,0
SUP-00000056,AC00476,124.11,2023-01-03T07:18:30,TRANSFER,Chattogram,BRANCH,73,Retired,2,126702.83,,0
SUP-00000057,AC00299,878.87,2023-01-03T08:37:41,TRANSFER,Rangpur,ATM,24,Teacher,2,130499.45,,0
SUP-00000058,AC00334,154.13,2023-01-03T08:53:27,CASH_WITHDRAWAL,Rangpur,ATM,54,Teacher,1,89184.91,,0
SUP-00000059,AC00311,418.45,2023-01-03T10:08:25,DEBIT,Dhaka,MOBILE,21,Student,1,34250.88,,0
SUP-00000060,AC00595,96.06,2023-01-03T10:31:34,TRANSFER,Khulna,ATM,25,Government Employee,1,176380.89,,0
SUP-00000061,AC00396,731.92,2023-01-03T11:03:05,DEBIT,Barishal,BRANCH,57,Doctor,2,142430.81,,0
SUP-00000062,AC00196,639.03,2023-01-03T12:18:13,TRANSFER,Sylhet,POS,68,Retired,1,100422.37,,0
SUP-00000063,AC00358,181.68,2023-01-03T13:07:36,TRANSFER,Rajshahi,ONLINE,57,Engineer,1,115967.87,,0
SUP-00000064,AC00409,73.86,2023-01-03T13:08:19,TRANSFER,Dhaka,ONLINE,38,Business Owner,1,137874.86,,0
SUP-00000065,AC00161,97.71,2023-01-03T14:17:12,DEBIT,Barishal,BRANCH,25,Business Owner,1,45868.9,,0
SUP-00000066,AC00561,551.49,2023-01-03T15:04:39,TRANSFER,Chattogram,BRANCH,39,Government Employee,1,59998.57,2023-01-02T07:13:26,0
SUP-00000067,AC00224,40.09,2023-01-03T15:59:57,CREDIT,Mymensingh,POS,69,Retired,3,165495.18,,0
SUP-00000068,AC00407,170.63,2023-01-03T18:47:24,CREDIT,Dhaka,ONLINE,27,Government Employee,2,56082.76,,0
SUP-00000069,AC00189,534.89,2023-01-03T20:25:36,CREDIT,Rangpur,ATM,32,Doctor,2,147882.53,,0
SUP-00000070,AC00158,247.18,2023-01-03T20:47:38,DEBIT,Chattogram,ONLINE,27,Engineer,2,8172.81,,0
SUP-00000071,AC00190,263.81,2023-01-03T21:15:01,DEBIT,Mymensingh,ATM,19,Student,1,102166.46,,0
SUP-00000072,AC00170,81.69,2023-01-03T21:40:37,CASH_WITHDRAWAL,Barishal,ONLINE,59,Doctor,1,109381.07,,0
SUP-00000073,AC00013,592.5,2023-01-03T21:42:23,TRANSFER,Khulna,POS,59,Retired,2,168616.05,,0
SUP-00000074,AC00179,269.58,2023-01-03T22:34:23,TRANSFER,Sylhet,MOBILE,61,Teacher,2,91651.34,,0
SUP-00000075,AC00246,80.56,2023-01-03T22:42:42,CREDIT,Rangpur,ONLINE,77,Retired,2,138820.85,,0
SUP-00000076,AC00401,724.36,2023-01-03T23:25:13,CREDIT,Barishal,MOBILE,44,Banker,1,50679.36,,0
SUP-00000077,AC00590,124.64,2023-01-03T23:33:23,DEBIT,Mymensingh,ATM,60,Government Employee,2,108582.35,,0
SUP-00000078,AC00057,9479.7,2023-01-04T01:13:53,CASH_WITHDRAWAL,Rajshahi,ONLINE,61,Doctor,7,8118.5,,1
SUP-00000079,AC00283,133.21,2023-01-04T01:40:32,CASH_WITHDRAWAL,Mymensingh,ATM,33,Government Employee,2,13148.22,,0
SUP-00000080,AC00469,114.17,2023-01-04T01:51:21,CREDIT,Rangpur,ONLINE,34,Government Employee,1,148775.48,,0
SUP-00000081,AC00433,146.81,2023-01-04T04:28:31,CREDIT,Rajshahi,ATM,22,Student,1,176128.61,,0
SUP-00000082,AC00312,432.11,2023-01-04T05:20:19,TRANSFER,Barishal,ONLINE,79,Retired,1,148045.77,,0
SUP-00000083,AC00419,400.17,2023-01-04T06:13:01,DEBIT,Barishal,ATM,55,Teacher,1,116800.35,,0
SUP-00000084,AC00015,40.63,2023-01-04T08:30:33,DEBIT,Dhaka,MOBILE,28,Engineer,1,114760.22,,0
SUP-00000085,AC00376,192.06,2023-01-04T09:03:30,DEBIT,Sylhet,ONLINE,54,Doctor,2,152577.42,2023-01-02T09:10:00,0
SUP-00000086,AC00501,160.14,2023-01-04T09:11:15,DEBIT,Chattogram,ATM,40,Banker,1,150369.93,,0
SUP-00000087,AC00475,367.55,2023-01-04T09:50:19,DEBIT,Mymensingh,MOBILE,67,Retired,1,102687.01,,0
SUP-00000088,AC00413,46.36,2023-01-04T11:57:03,CASH_WITHDRAWAL,Dhaka,POS,27,Student,1,22795.31,,0
SUP-00000089,AC00386,39.06,2023-01-04T12:58:16,DEBIT,Mymensingh,ONLINE,50,Government Employee,1,92878.6,2023-01-01T14:12:30,0
SUP-00000090,AC00304,232.7,2023-01-04T13:12:54,TRANSFER,Mymensingh,BRANCH,66,Teacher,1,47532.26,,0
SUP-00000091,AC00271,83.13,2023-01-04T13:47:27,CASH_WITHDRAWAL,Khulna,POS,61,Banker,1,23024.75,,0
SUP-00000092,AC00147,399.11,2023-01-04T14:01:07,DEBIT,Rangpur,MOBILE,46,Government Employee,1,157862.69,2023-01-02T00:46:32,0
SUP-00000093,AC00516,713.1,2023-01-04T15:09:48,TRANSFER,Singapore,MOBILE,67,Doctor,4,23271.53,,1
SUP-00000094,AC00430,167.15,2023-01-04T15:30:40,DEBIT,Sylhet,POS,54,Government Employee,2,167755.07,,0
SUP-00000095,AC00116,187.16,2023-01-04T17:24:58,CASH_WITHDRAWAL,Khulna,ATM,35,Government Employee,1,124118.46,,0
SUP-00000096,AC00259,397.83,2023-01-04T17:54:24,DEBIT,Chattogram,BRANCH,19,Student,1,109155.51,,0
SUP-00000097,AC00494,331.8,2023-01-04T19:19:42,DEBIT,Khulna,ATM,26,Student,1,163764.98,,0
SUP-00000098,AC00353,98.56,2023-01-04T19:55:34,CREDIT,Khulna,POS,28,Government Employee,1,88075.04,,0
SUP-00000099,AC00343,592.59,2023-01-04T20:41:06,TRANSFER,Khulna,ATM,29,Doctor,1,118719.08,,0
SUP-00000100,AC00149,244.02,2023-01-04T20:48:12,DEBIT,Chattogram,ONLINE,52,Banker,2,74658.48,,0
SUP-00000101,AC00050,676.16,2023-01-04T22:46:42,CREDIT,Chattogram,BRANCH,45,Government Employee,1,166288.26,,0
SUP-00000102,AC00142,786.78,2023-01-04T23:29:11,DEBIT,Sylhet,MOBILE,26,Student,1,61305.19,,0
SUP-00000103,AC00270,435.47,2023-01-05T01:02:03,TRANSFER,Dhaka,ONLINE,67,Doctor,1,153671.32,,0
SUP-00000104,AC00513,199.63,2023-01-05T02:58:07,DEBIT,Chattogram,ONLINE,38,Banker,1,49896.57,,0
SUP-00000105,AC00492,127.41,2023-01-05T05:09:39,DEBIT,Mymensingh,BRANCH,71,Retired,1,57854.29,,0
SUP-00000106,AC00196,1833.22,2023-01-05T06:22:28,TRANSFER,Sylhet,POS,68,Retired,1,98589.15,2023-01-03T12:18:13,0
SUP-00000107,AC00597,122.74,2023-01-05T06:31:22,CREDIT,Rangpur,BRANCH,46,Doctor,1,127374.29,,1
SUP-00000108,AC00288,46.18,2023-01-05T06:35:03,DEBIT,Barishal,MOBILE,37,Business Owner,1,82373.96,,0
SUP-00000109,AC00375,339.81,2023-01-05T06:59:58,CREDIT,Sylhet,MOBILE,62,Business Owner,1,69845.02,,0
SUP-00000110,AC00338,306.36,2023-01-05T10:21:49,TRANSFER,Rangpur,ONLINE,44,Teacher,1,176375.46,,0
SUP-00000111,AC00193,64.54,2023-01-05T10:52:54,CREDIT,Barishal,ATM,64,Government Employee,1,86992.96,2023-01-01T02:15:18,0
SUP-00000112,AC00588,414.65,2023-01-05T10:59:56,TRANSFER,Rajshahi,MOBILE,33,Doctor,1,98230.17,,0
SUP-00000113,AC00160,530.02,2023-01-05T11:14:35,TRANSFER,Chattogram,BRANCH,24,Student,1,58950.58,,0
SUP-00000114,AC00156,441.09,2023-01-05T12:29:37,TRANSFER,Rangpur,MOBILE,44,Government Employee,1,43172.03,,0
SUP-00000115,AC00210,115.74,2023-01-05T12:52:24,TRANSFER,Rajshahi,ONLINE,32,Business Owner,1,156384.82,,0
