TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate
TRANSACTIONSUSERGROWTH20000000001,AC_GROWTH_005,488.27,2024-02-01T09:00:00,Debit,Las Vegas,Branch,54,Engineer,1,3191.22,
TRANSACTIONSUSERGROWTH20000000006,AC_GROWTH_025,5.00,2024-02-01T09:00:00,Debit,Baltimore,Branch,51,Retired,1,2484.74,
TRANSACTIONSUSERGROWTH20000000031,AC_GROWTH_100,257.53,2024-02-01T09:00:00,Credit,Indianapolis,ATM,31,Student,1,2872.49,
TRANSACTIONSUSERGROWTH20000000131,AC_GROWTH_500,135.25,2024-02-01T09:00:00,Debit,Albuquerque,ATM,55,Engineer,1,2141.07,
TRANSACTIONSUSERGROWTH20000000657,ACU00657,328.83,2024-02-01T09:00:00,Debit,Seattle,ATM,62,Retired,1,7432.98,
TRANSACTIONSUSERGROWTH20000000682,ACU00682,95.25,2024-02-01T09:00:00,Credit,Albuquerque,Branch,53,Doctor,2,5576.07,
TRANSACTIONSUSERGROWTH20000000702,ACU00702,581.86,2024-02-01T09:00:00,Credit,Las Vegas,ATM,32,Student,1,1913.79,
TRANSACTIONSUSERGROWTH20000000707,ACU00707,168.58,2024-02-01T09:00:00,Debit,San Antonio,ATM,53,Doctor,1,3842.12,
TRANSACTIONSUSERGROWTH20000000719,ACU00719,1300.46,2024-02-01T09:00:00,Debit,Detroit,ATM,48,Engineer,1,4319.39,
TRANSACTIONSUSERGROWTH20000000796,ACU00796,496.77,2024-02-01T09:00:00,Debit,Atlanta,Branch,46,Engineer,1,6478.27,
TRANSACTIONSUSERGROWTH20000000874,ACU00874,552.83,2024-02-01T09:00:00,Debit,San Jose,Branch,47,Engineer,1,4720.21,
TRANSACTIONSUSERGROWTH20000000878,ACU00878,5.00,2024-02-01T09:00:00,Credit,Detroit,ATM,44,Engineer,1,4039.27,
TRANSACTIONSUSERGROWTH20000000894,ACU00894,138.87,2024-02-01T09:00:00,Credit,San Francisco,Branch,43,Student,2,1560.40,
TRANSACTIONSUSERGROWTH20000000942,ACU00942,576.87,2024-02-01T09:00:00,Credit,Philadelphia,Branch,62,Doctor,3,7339.58,
TRANSACTIONSUSERGROWTH20000000943,ACU00943,5.00,2024-02-01T09:00:00,Debit,San Jose,Online,47,Doctor,1,8117.99,
TRANSACTIONSUSERGROWTH20000001040,ACU01040,637.63,2024-02-01T09:00:00,Debit,Atlanta,Online,54,Retired,1,7667.83,
TRANSACTIONSUSERGROWTH20000001073,ACU01073,5.00,2024-02-01T09:00:00,Debit,Miami,Online,55,Doctor,1,6035.08,
TRANSACTIONSUSERGROWTH20000001103,ACU01103,213.95,2024-02-01T09:00:00,Credit,Tucson,ATM,40,Engineer,1,10922.45,
TRANSACTIONSUSERGROWTH20000001144,ACU01144,406.98,2024-02-01T09:00:00,Credit,San Antonio,ATM,57,Retired,1,6859.57,
TRANSACTIONSUSERGROWTH20000001159,ACU01159,406.83,2024-02-01T09:00:00,Debit,Phoenix,Online,52,Retired,2,3193.60,
TRANSACTIONSUSERGROWTH20000001180,ACU01180,399.60,2024-02-01T09:00:00,Debit,Louisville,Branch,46,Student,1,6927.28,
TRANSACTIONSUSERGROWTH20000001262,ACU00052,556.05,2024-02-01T09:00:00,Debit,Raleigh,Branch,47,Retired,1,3098.41,
TRANSACTIONSUSERGROWTH20000001304,ACU00094,264.69,2024-02-01T09:00:00,Credit,Milwaukee,ATM,35,Student,1,3505.85,
TRANSACTIONSUSERGROWTH20000001305,ACU00095,381.51,2024-02-01T09:00:00,Credit,Virginia Beach,Online,48,Student,1,2349.07,
TRANSACTIONSUSERGROWTH20000001428,ACU00218,315.25,2024-02-01T09:00:00,Debit,Philadelphia,Branch,45,Student,1,3235.65,
TRANSACTIONSUSERGROWTH20000001440,ACU00230,480.92,2024-02-01T09:00:00,Debit,Fort Worth,Online,68,Retired,1,5116.89,
TRANSACTIONSUSERGROWTH20000001454,ACU00244,339.15,2024-02-01T09:00:00,Credit,Oklahoma City,Online,40,Doctor,1,5308.05,
TRANSACTIONSUSERGROWTH20000001526,ACU00316,593.64,2024-02-01T09:00:00,Debit,Phoenix,ATM,48,Engineer,1,2771.95,
TRANSACTIONSUSERGROWTH20000001531,ACU00321,573.59,2024-02-01T09:00:00,Credit,Detroit,Online,35,Student,1,868.52,
TRANSACTIONSUSERGROWTH20000001570,ACU00360,133.37,2024-02-01T09:00:00,Debit,Fresno,Online,62,Engineer,1,4583.60,
TRANSACTIONSUSERGROWTH20000001644,ACU00434,122.35,2024-02-01T09:00:00,Debit,Atlanta,Branch,37,Student,1,4904.25,
TRANSACTIONSUSERGROWTH20000001651,ACU00441,96.09,2024-02-01T09:00:00,Debit,Miami,Branch,41,Doctor,1,9080.59,
TRANSACTIONSUSERGROWTH20000001660,ACU00450,5.00,2024-02-01T09:00:00,Debit,Fort Worth,ATM,47,Retired,1,2284.38,
TRANSACTIONSUSERGROWTH20000001668,ACU00458,453.07,2024-02-01T09:00:00,Credit,Dallas,ATM,48,Engineer,1,6565.18,
TRANSACTIONSUSERGROWTH20000001680,ACU00470,307.53,2024-02-01T09:00:00,Credit,Kansas City,Branch,38,Student,1,4386.33,
